,len_01_norm_unicode,len_01_norm_unicode,len_02_dehyphen,len_02_dehyphen,len_03_strip_summary,len_03_strip_summary,len_04_smart_join,len_04_smart_join,len_05_cut_from_od,len_05_cut_from_od,len_06_norm_orden_dia,len_06_norm_orden_dia,len_07_strip_roster_stage,len_07_strip_roster_stage,len_08_strip_procedural,len_08_strip_procedural,len_09_postfix,len_09_postfix,len_10_after_legal_cut,len_10_after_legal_cut,len_11_final,len_11_final,n_legal_blocks,n_legal_blocks,ratio_after_legal,ratio_after_legal,ratio_after_procedural,ratio_after_procedural,ratio_after_summary,ratio_after_summary
run_label,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev
file_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47_2012-11-06_crr.txt,306639,306639,306639,306639,301999,301999,301869,301869,301869,301869,301869,301869,37949,37949,37927,37927,37786,37786,12313,12313,12313,12313,7,7,0.3258614301593183,0.3258614301593183,0.9994202745790404,0.9994202745790404,0.9848682000658756,0.9848682000658756
47_2012-11-07_crr.txt,394398,394398,394398,394398,390374,390374,390314,390314,256647,256647,256647,256647,255468,255468,254917,254917,253818,253818,195711,195711,195711,195711,4,4,0.7710682457508924,0.7710682457508924,0.9978431740961686,0.9978431740961686,0.989797108504607,0.989797108504607
47_2012-11-07_crr_3728.txt,25536,25536,25536,25536,24820,24820,24813,24813,24813,24813,24703,24703,20210,20210,20200,20200,19983,19983,14762,14762,14762,14762,2,2,0.7387279187309213,0.7387279187309213,0.999505195447798,0.999505195447798,0.9719611528822056,0.9719611528822056
47_2012-11-13_crr.txt,386833,386833,386833,386833,384325,384325,384212,384212,384212,384212,384212,384212,12955,12955,12935,12935,12631,12631,3559,3559,3559,3559,3,3,0.2817670809912121,0.2817670809912121,0.9984561945194904,0.9984561945194904,0.9935165820909798,0.9935165820909798
47_2012-11-14_crr.txt,209794,209794,209794,209794,205437,205437,205392,205392,205392,205392,205392,205392,3287,3287,3277,3277,3233,3233,3233,3233,3234,3234,0,0,1.0,1.0,0.996957712199574,0.996957712199574,0.9792320085417124,0.9792320085417124
47_2012-11-20_crr.txt,207154,207154,207154,207154,207154,207154,207054,207054,143493,143493,143493,143493,142288,142288,141716,141716,140315,140315,119523,119523,119523,119523,6,6,0.8518191212628728,0.8518191212628728,0.995979984257281,0.995979984257281,1.0,1.0
47_2012-11-21_crr.txt,4988,4988,4988,4988,4988,4988,4985,4985,4985,4985,4719,4719,13,13,13,13,13,13,13,13,14,14,0,0,1.0,1.0,1.0,1.0,1.0,1.0
47_2012-11-27_crr.txt,113555,113555,113555,113555,109847,109847,109796,109796,109796,109796,108561,108561,34658,34658,34638,34638,34380,34380,5979,5979,5979,5979,3,3,0.1739092495636998,0.1739092495636998,0.9994229326562408,0.9994229326562408,0.9673462198934436,0.9673462198934436
47_2012-12-04_crr.txt,316310,316310,316310,316310,310811,310811,310818,310818,240050,240050,240050,240050,239003,239003,238617,238617,237379,237379,144600,144600,144600,144600,4,4,0.6091524524073317,0.6091524524073317,0.9983849575109937,0.9983849575109937,0.9826151560178306,0.9826151560178306
47_2012-12-05_crr.txt,189984,189984,189984,189984,187395,187395,187296,187296,187296,187296,187296,187296,97,97,97,97,97,97,97,97,98,98,0,0,1.0,1.0,1.0,1.0,0.986372536634664,0.986372536634664
